Variable Name	Description	Values	Data Type and Length	
Subject	Subject ID number	1-30	Integer; 2	
Activity	Acitivity type	"Walking, Walking_Upstairs, Walking_Downstairs, Sitting, Standing, Laying"	Character; 	
tBodyAcc-mean()-X	Mean of tBodyAcc-mean()-X; See Features_info.txt for more detail about the original variable	Max 0.3014610196- Min 0.22159824394	double	
tBodyAcc-mean()-Y	Mean of tBodyAcc-mean()-Y; See Features_info.txt for more detail about the original variable	Max -0.00130828765170213- Min -0.0405139534294	double	
tBodyAcc-mean()-Z	Mean of tBodyAcc-mean()-Z; See Features_info.txt for more detail about the original variable	Max -0.07537846886- Min -0.152513899520833	double	
tBodyAcc-std()-X	Mean of tBodyAcc-std()-X; See Features_info.txt for more detail about the original variable	Max 0.626917070512821- Min -0.996068635384615	double	
tBodyAcc-std()-Y	Mean of tBodyAcc-std()-Y; See Features_info.txt for more detail about the original variable	Max 0.616937015333333- Min -0.990240946666667	double	
tBodyAcc-std()-Z	Mean of tBodyAcc-std()-Z; See Features_info.txt for more detail about the original variable	Max 0.609017879074074- Min -0.987658662307692	double	
tGravityAcc-mean()-X	Mean of tGravityAcc-mean()-X; See Features_info.txt for more detail about the original variable	Max 0.974508732- Min -0.680043155060241	double	
tGravityAcc-mean()-Y	Mean of tGravityAcc-mean()-Y; See Features_info.txt for more detail about the original variable	Max 0.956593814210526- Min -0.479894842941176	double	
tGravityAcc-mean()-Z	Mean of tGravityAcc-mean()-Z; See Features_info.txt for more detail about the original variable	Max 0.9578730416- Min -0.49508872037037	double	
tGravityAcc-std()-X	Mean of tGravityAcc-std()-X; See Features_info.txt for more detail about the original variable	Max -0.829554947808219- Min -0.996764227384615	double	
tGravityAcc-std()-Y	Mean of tGravityAcc-std()-Y; See Features_info.txt for more detail about the original variable	Max -0.643578361424658- Min -0.99424764884058	double	
tGravityAcc-std()-Z	Mean of tGravityAcc-std()-Z; See Features_info.txt for more detail about the original variable	Max -0.610161166287671- Min -0.990957249538462	double	
tBodyAccJerk-mean()-X	Mean of tBodyAccJerk-mean()-X; See Features_info.txt for more detail about the original variable	Max 0.130193043809524- Min 0.0426880986186441	double	
tBodyAccJerk-mean()-Y	Mean of tBodyAccJerk-mean()-Y; See Features_info.txt for more detail about the original variable	Max 0.056818586275- Min -0.0386872111282051	double	
tBodyAccJerk-mean()-Z	Mean of tBodyAccJerk-mean()-Z; See Features_info.txt for more detail about the original variable	Max 0.0380533591627451- Min -0.0674583919268293	double	
tBodyAccJerk-std()-X	Mean of tBodyAccJerk-std()-X; See Features_info.txt for more detail about the original variable	Max 0.544273037307692- Min -0.994604542264151	double	
tBodyAccJerk-std()-Y	Mean of tBodyAccJerk-std()-Y; See Features_info.txt for more detail about the original variable	Max 0.355306716915385- Min -0.989513565652174	double	
tBodyAccJerk-std()-Z	Mean of tBodyAccJerk-std()-Z; See Features_info.txt for more detail about the original variable	Max 0.0310157077775926- Min -0.993288313333333	double	
tBodyGyro-mean()-X	Mean of tBodyGyro-mean()-X; See Features_info.txt for more detail about the original variable	Max 0.19270447595122- Min -0.205775427307692	double	
